C:\Users\Ismael\Desktop\leo-code\_find_no_docstring.py:8: DeprecationWarning: ast.Str is deprecated and will be removed in Python 3.14; use ast.Constant instead
  isinstance(node.body[0].value, (ast.Constant, ast.Str))):
Total: 438 funciones/clases sin docstring

Top 10:
LOC    Tipo       Nombre                                             Archivo                                                      Linea 
10     Function   __init__                                           leo_code\plugins\__init__.py                                 79    
10     Function   execute                                            leo_code\plugins\__init__.py                                 112   
10     Function   shutdown                                           leo_code\plugins\__init__.py                                 130   
10     Function   _ensure_builtins_loaded                            leo_code\plugins\__init__.py                                 176   
10     Function   shutdown                                           leo_code\plugins\__init__.py                                 376   
10     Function   _compute_idf                                       leo_code\rag\bm25.py                                         69    
10     Function   read_file                                          leo_code\rag\agent\tools.py                                  125   
10     Function   _acquire_file_lock                                 leo_code\server\server.py                                    50    
10     Function   create_session                                     leo_code\session\__init__.py                                 73    
10     Function   _line_pipeline                                     leo_code\tui\status.py                                       156   
10     Function   _line_footer                                       leo_code\tui\status.py                                       167   
10     Function   _make_capsule                                      tests\test_compressor.py                                     7     
10     Function   test_detect_language                               tests\test_parser.py                                         117   
